iter	Passed	Remaining
655	12128	6359
656	12147	6341
657	12164	6322
658	12182	6303
659	12203	6286
660	12216	6265
661	12228	6243
662	12245	6224
663	12252	6200
664	12265	6178
665	12282	6159
666	12299	6140
667	12317	6121
668	12335	6103
669	12349	6082
670	12364	6062
671	12380	6042
672	12397	6023
673	12421	6008
674	12437	5988
675	12453	5968
676	12467	5948
677	12484	5929
678	12505	5911
679	12521	5892
680	12539	5873
681	12550	5852
682	12562	5830
683	12575	5809
684	12589	5789
685	12598	5766
686	12614	5747
687	12625	5725
688	12637	5704
689	12652	5684
690	12668	5665
691	12692	5649
692	12709	5630
693	12730	5612
694	12747	5594
695	12769	5577
696	12788	5559
697	12814	5544
698	12835	5527
699	12861	5511
700	12889	5497
701	12907	5479
702	12925	5460
703	12949	5444
704	12965	5425
705	12979	5404
706	13002	5388
707	13024	5371
708	13049	5355
709	13063	5335
710	13082	5317
711	13098	5298
712	13117	5280
713	13130	5259
714	13145	5239
715	13163	5221
716	13180	5202
717	13194	5182
718	13204	5160
719	13223	5142
720	13244	5125
721	13264	5107
722	13286	5090
723	13306	5072
724	13323	5053
725	13341	5035
726	13353	5014
727	13363	4993
728	13375	4972
729	13386	4951
730	13411	4935
731	13430	4917
732	13444	4897
733	13459	4877
734	13478	4859
735	13492	4839
736	13502	4818
737	13524	4801
738	13535	4780
739	13548	4760
740	13567	4742
741	13590	4725
742	13604	4705
743	13618	4686
744	13641	4669
745	13649	4647
746	13673	4631
747	13688	4611
748	13700	4591
749	13715	4571
750	13728	4551
751	13742	4532
752	13762	4514
753	13778	4495
754	13798	4477
755	13821	4460
756	13833	4440
757	13850	4421
758	13862	4401
759	13880	4383
760	13894	4363
761	13908	4344
762	13922	4324
763	13928	4302
764	13941	4282
765	13962	4265
766	13987	4249
767	14005	4230
768	14023	4212
769	14039	4193
770	14053	4174
771	14065	4154
772	14077	4134
773	14087	4113
774	14096	4092
775	14106	4071
776	14117	4051
777	14144	4036
778	14176	4021
779	14192	4003
780	14220	3987
781	14240	3969
782	14254	3950
783	14268	3931
784	14282	3911
785	14291	3890
786	14306	3871
787	14319	3852
788	14332	3832
789	14347	3813
790	14364	3795
791	14384	3777
792	14401	3759
793	14418	3740
794	14432	3721
795	14443	3701
796	14455	3681
797	14470	3662
798	14486	3644
799	14497	3624
800	14514	3605
801	14532	3587
802	14555	3570
803	14570	3551
804	14585	3533
805	14596	3513
806	14613	3495
807	14627	3475
808	14643	3457
809	14661	3439
810	14680	3421
811	14694	3402
812	14713	3384
813	14733	3366
814	14751	3348
815	14766	3329
816	14778	3310
817	14793	3291
818	14811	3273
819	14824	3254
820	14844	3236
821	14863	3218
822	14873	3198
823	14905	3183
824	14926	3166
825	14943	3147
826	14963	3130
827	14989	3113
828	15004	3094
829	15022	3076
830	15037	3058
831	15058	3040
832	15076	3022
833	15094	3004
834	15108	2985
835	15122	2966
836	15139	2948
837	15158	2930
838	15172	2911
839	15188	2893
840	15209	2875
841	15232	2858
842	15253	2840
843	15270	2822
844	15288	2804
845	15306	2786
846	15322	2767
847	15335	2748
848	15348	2729
849	15359	2710
850	15381	2693
851	15404	2675
852	15427	2658
853	15447	2640
854	15471	2623
855	15504	2608
856	15530	2591
857	15556	2574
858	15582	2557
859	15603	2540
860	15617	2521
861	15633	2502
862	15648	2484
863	15663	2465
864	15677	2446
865	15699	2429
866	15720	2411
867	15730	2392
868	15749	2374
869	15768	2356
870	15784	2337
871	15810	2320
872	15831	2303
873	15842	2283
874	15854	2264
875	15866	2245
876	15880	2227
877	15888	2207
878	15897	2188
879	15909	2169
880	15922	2150
881	15939	2132
882	15950	2113
883	15962	2094
884	15988	2077
885	16002	2059
886	16011	2039
887	16019	2020
888	16027	2001
889	16035	1981
890	16044	1962
891	16050	1943
892	16059	1924
893	16066	1904
894	16075	1885
895	16081	1866
896	16090	1847
897	16097	1828
898	16104	1809
899	16112	1790
900	16121	1771
901	16128	1752
902	16136	1733
903	16142	1714
904	16149	1695
905	16157	1676
906	16163	1657
907	16171	1638
908	16180	1619
909	16188	1601
910	16194	1582
911	16201	1563
912	16208	1544
913	16215	1525
914	16224	1507
915	16233	1488
916	16239	1469
917	16246	1451
918	16254	1432
919	16260	1413
920	16265	1395
921	16274	1376
922	16279	1358
923	16295	1340
924	16306	1322
925	16312	1303
926	16324	1285
927	16333	1267
928	16341	1248
929	16345	1230
930	16348	1211
931	16351	1193
932	16355	1174
933	16358	1155
934	16362	1137
935	16365	1119
936	16370	1100
937	16376	1082
938	16379	1064
939	16383	1045
940	16386	1027
941	16391	1009
942	16395	991
943	16399	972
944	16403	954
945	16407	936
946	16410	918
947	16414	900
948	16418	882
949	16423	864
950	16426	846
951	16429	828
952	16433	810
953	16437	792
954	16441	774
955	16444	756
956	16447	739
957	16451	721
958	16455	703
959	16458	685
960	16461	668
961	16465	650
962	16468	632
963	16472	615
964	16475	597
965	16478	579
966	16480	562
967	16482	544
968	16486	527
969	16488	509
970	16490	492
971	16493	475
972	16496	457
973	16498	440
974	16503	423
975	16505	405
976	16507	388
977	16510	371
978	16513	354
979	16515	337
980	16519	319
981	16522	302
982	16524	285
983	16527	268
984	16529	251
985	16532	234
986	16535	217
987	16538	200
988	16540	183
989	16542	167
990	16544	150
991	16547	133
992	16550	116
993	16552	99
994	16555	83
995	16557	66
996	16559	49
997	16561	33
998	16563	16
999	16568	0
