episode,dqn_reward,dqn_smoothed_reward,dqn_epsilon,ddqn_reward,ddqn_smoothed_reward,ddqn_epsilon
52,67.0,21.28,0.6585775953242086,27.0,19.58,0.6585775953242086
53,10.0,20.88,0.653308974561615,15.0,19.46,0.653308974561615
54,12.0,20.82,0.648082502765122,12.0,19.36,0.648082502765122
55,21.0,20.82,0.642897842743001,16.0,19.16,0.642897842743001
56,13.0,20.86,0.6377546600010571,11.0,18.9,0.6377546600010571
57,13.0,20.38,0.6326526227210486,19.0,19.08,0.6326526227210486
58,20.0,20.52,0.6275914017392802,25.0,19.14,0.6275914017392802
59,10.0,20.4,0.622570670525366,10.0,19.06,0.622570670525366
60,19.0,20.34,0.617590105161163,24.0,19.16,0.617590105161163
61,18.0,20.48,0.6126493843198737,11.0,19.14,0.6126493843198737
62,12.0,20.44,0.6077481892453147,14.0,19.14,0.6077481892453147
63,21.0,20.54,0.6028862037313522,11.0,19.0,0.6028862037313522
64,11.0,20.3,0.5980631141015014,14.0,18.74,0.5980631141015014
65,13.0,20.36,0.5932786091886894,11.0,18.26,0.5932786091886894
66,15.0,20.42,0.5885323803151798,16.0,18.32,0.5885323803151798
67,15.0,20.48,0.5838241212726584,15.0,17.56,0.5838241212726584
68,11.0,20.26,0.5791535283024771,11.0,17.54,0.5791535283024771
69,13.0,20.1,0.5745203000760573,11.0,16.5,0.5745203000760573
70,13.0,19.68,0.5699241376754488,12.0,16.52,0.5699241376754488
71,19.0,19.62,0.5653647445740452,27.0,16.76,0.5653647445740452
72,20.0,19.36,0.5608418266174529,14.0,16.8,0.5608418266174529
73,28.0,19.62,0.5563550920045133,13.0,16.84,0.5563550920045133
74,18.0,19.5,0.5519042512684771,17.0,16.44,0.5519042512684771
75,15.0,19.26,0.5474890172583293,15.0,16.5,0.5474890172583293
76,23.0,19.44,0.5431091051202627,13.0,16.28,0.5431091051202627
77,12.0,19.02,0.5387642322793006,13.0,16.3,0.5387642322793006
78,16.0,18.98,0.5344541184210662,13.0,16.18,0.5344541184210662
79,19.0,18.92,0.5301784854736976,12.0,16.08,0.5301784854736976
80,46.0,19.54,0.525937057589908,25.0,16.24,0.525937057589908
